iter	RMSE
194	1.973465354
195	1.972720191
196	1.971992522
197	1.970887089
198	1.970132231
199	1.969374617
200	1.968555195
201	1.967508017
202	1.966988104
203	1.966393087
204	1.965617935
205	1.964731588
206	1.964212286
207	1.963081904
208	1.962437254
209	1.961081786
210	1.960634973
211	1.95993019
212	1.958952844
213	1.957914578
214	1.956729983
215	1.955884393
216	1.954791571
217	1.953727191
218	1.953010017
219	1.951119462
220	1.950506569
221	1.949753335
222	1.949103469
223	1.947786811
224	1.946779118
225	1.945264253
226	1.944769507
227	1.943758717
228	1.942977457
229	1.942342719
230	1.941721763
231	1.940691162
232	1.939230734
233	1.938561828
234	1.938010729
235	1.936900327
236	1.936340942
237	1.935708614
238	1.935032917
239	1.934346699
240	1.933453715
241	1.932714227
242	1.932049601
243	1.930970749
244	1.930118788
245	1.928909488
246	1.928454332
247	1.927874972
248	1.927450824
249	1.926203981
250	1.925455295
251	1.924434493
252	1.923923342
253	1.923479
254	1.922778126
255	1.922114889
256	1.921731848
257	1.921051136
258	1.920369768
259	1.919375716
260	1.918668216
261	1.91781282
262	1.916644074
263	1.915842793
264	1.914385433
265	1.913293298
266	1.912419612
267	1.91107332
268	1.90953133
269	1.909224167
270	1.907676981
271	1.906897103
272	1.906248531
273	1.90546179
274	1.904250576
275	1.903728999
276	1.903017401
277	1.902601409
278	1.901136689
279	1.900309864
280	1.899774562
281	1.899009607
282	1.897864213
283	1.897059734
284	1.896537167
285	1.895302353
286	1.894342619
287	1.893547615
288	1.89239556
289	1.891900034
290	1.891418232
291	1.890783971
292	1.890348085
293	1.889335647
294	1.888818685
295	1.888030461
296	1.887275865
297	1.886690911
298	1.88562692
299	1.884805262
300	1.884010261
301	1.883096201
302	1.88221791
303	1.881743232
304	1.880673281
305	1.879694921
306	1.878910645
307	1.878078818
308	1.877142279
309	1.876445106
310	1.876064412
311	1.874926029
312	1.874380896
313	1.87340468
314	1.872094959
315	1.871351884
316	1.870723002
317	1.869797659
318	1.869117407
319	1.868434289
320	1.867727798
321	1.867252719
322	1.866479021
323	1.866018673
324	1.865503337
325	1.864614524
326	1.864297347
327	1.863918322
328	1.863512219
329	1.862862464
330	1.862285594
331	1.861179053
332	1.860350306
333	1.859776534
334	1.859388342
335	1.859091467
336	1.85851584
337	1.85780938
338	1.857348184
339	1.856595897
340	1.85621851
341	1.855153378
342	1.854817735
343	1.853717842
344	1.853183052
345	1.852238038
346	1.851406466
347	1.850469607
348	1.850026304
349	1.849335437
350	1.848293336
351	1.847903518
352	1.847275022
353	1.846583518
354	1.845914188
355	1.845514464
356	1.84499321
357	1.844503107
358	1.844237702
359	1.843830356
360	1.843255143
361	1.842638311
362	1.841931674
363	1.841290696
364	1.840680641
365	1.840292459
366	1.839861075
367	1.839004879
368	1.838419051
369	1.837614963
370	1.837070012
371	1.83631502
372	1.835565771
373	1.835261043
374	1.83491535
375	1.834176258
376	1.833770459
377	1.832958089
378	1.832531623
379	1.831634917
380	1.830903064
381	1.830515197
382	1.829942526
383	1.829276273
384	1.828603883
385	1.828075896
386	1.827723976
387	1.82719776
388	1.826538762
389	1.826038028
390	1.825416558
391	1.824782296
392	1.824145916
393	1.823747269
394	1.82302713
395	1.82242281
396	1.821832614
397	1.821199293
398	1.82032381
399	1.819697031
400	1.818624409
401	1.817702836
402	1.817044782
403	1.816436557
404	1.815661252
405	1.81529234
406	1.814741014
407	1.814073101
408	1.813612223
409	1.813001592
410	1.812632737
411	1.811840829
412	1.811286561
413	1.810700174
414	1.809989235
415	1.809468453
416	1.809088669
417	1.808600564
418	1.808132273
419	1.807384983
420	1.806925865
421	1.806169311
422	1.805304175
423	1.804257451
424	1.803757996
425	1.803165966
426	1.802680653
427	1.80204549
428	1.801102173
429	1.80067667
430	1.800204928
431	1.799895338
432	1.799028818
433	1.79828401
434	1.797631012
435	1.797176607
436	1.796533626
437	1.796172217
438	1.79552987
439	1.794926798
440	1.794073036
441	1.793481077
442	1.792762575
443	1.792038458
444	1.791502748
445	1.790845576
446	1.790457019
447	1.789968724
448	1.78941926
449	1.788984968
450	1.788582374
451	1.787905825
452	1.787388213
453	1.786807328
454	1.786173632
455	1.785581379
456	1.785105256
457	1.784603525
458	1.783975902
459	1.783282505
460	1.782862281
461	1.782410106
462	1.782052224
463	1.781596727
464	1.78100244
465	1.780260328
466	1.779821841
467	1.779493518
468	1.779016797
469	1.778463213
470	1.778058863
471	1.777583229
472	1.777073864
473	1.776709917
474	1.776322211
475	1.775932725
476	1.775683501
477	1.775192371
478	1.77452147
479	1.774106389
480	1.773615402
481	1.773077008
482	1.77265044
483	1.772083832
484	1.77162382
485	1.771344127
486	1.770919861
487	1.770574495
488	1.769917175
489	1.769503053
490	1.769094408
491	1.768484387
492	1.768193161
493	1.767862514
494	1.767405223
495	1.767069408
496	1.766612389
497	1.766085427
498	1.765761163
499	1.765285828
500	1.764774952
501	1.764362298
502	1.763967436
503	1.763360234
504	1.763037722
505	1.76238075
506	1.762026813
507	1.761449492
508	1.760724902
509	1.760294637
510	1.759654139
511	1.759322842
512	1.758744316
513	1.758410893
514	1.758018302
515	1.757366804
516	1.756828307
517	1.756324407
518	1.756151948
519	1.755656429
520	1.754885455
521	1.754525177
522	1.753910806
523	1.753525409
524	1.753097502
525	1.752495118
526	1.751956714
527	1.751680504
528	1.750891792
529	1.750274686
530	1.74977506
531	1.749274291
532	1.748838524
533	1.748355887
534	1.747939647
535	1.747391826
536	1.746888118
537	1.746609748
538	1.746212269
539	1.74564346
540	1.745295664
541	1.744924045
542	1.744640569
543	1.743990922
544	1.743524071
545	1.742888174
546	1.742501396
547	1.741948101
548	1.741545143
549	1.741007289
550	1.740305799
551	1.739872449
552	1.739389578
553	1.739001179
554	1.738478864
555	1.738250041
556	1.73768878
557	1.737381478
558	1.736888405
559	1.736557535
560	1.735861972
561	1.735416806
562	1.734943566
563	1.734277222
564	1.734012318
565	1.733551216
566	1.733104322
567	1.732575587
568	1.732189169
569	1.731854123
570	1.731355228
571	1.730822174
572	1.730384058
573	1.729829247
574	1.729292998
575	1.728880619
576	1.728516634
577	1.727964792
578	1.727582508
579	1.7270966
580	1.726844034
581	1.726554817
582	1.72617593
583	1.725646804
584	1.725332395
585	1.724988125
586	1.724349731
587	1.724018531
588	1.723669376
589	1.723134839
590	1.722682691
591	1.722142021
592	1.721720018
593	1.721225345
594	1.720720708
595	1.719982205
596	1.719564555
597	1.718872957
598	1.718521945
599	1.718095935
600	1.717619112
601	1.717277396
602	1.716798291
603	1.716417752
604	1.715943222
605	1.715595468
606	1.714973893
607	1.714676341
608	1.714252279
609	1.713753404
610	1.713464046
611	1.713006696
612	1.712524575
613	1.712165767
614	1.71178209
615	1.711320579
616	1.710884003
617	1.710407988
618	1.710129587
619	1.709891969
620	1.709572414
621	1.709232102
622	1.708761581
623	1.708492751
624	1.707801143
625	1.70747007
626	1.706667667
627	1.706200365
628	1.705673531
629	1.705139884
630	1.704657717
631	1.704193017
632	1.703749371
633	1.703308306
634	1.70299843
635	1.702676105
636	1.701961059
637	1.701512353
638	1.700880827
639	1.700477709
640	1.700129852
641	1.699544244
642	1.699287624
643	1.69892913
644	1.698485384
645	1.698122768
646	1.697817354
647	1.697458011
648	1.697136091
649	1.696560618
650	1.696101617
651	1.69547794
652	1.695056209
653	1.694611329
654	1.694096691
655	1.69379934
656	1.693420949
657	1.69309599
658	1.692769512
659	1.692542952
660	1.69205564
661	1.691651591
662	1.691255512
663	1.690851931
664	1.690372946
665	1.689931887
666	1.689685199
667	1.689302037
668	1.688902956
669	1.688496684
670	1.687962371
671	1.687278685
672	1.686918069
673	1.686652404
674	1.686283693
675	1.685884118
676	1.685597117
677	1.685204294
678	1.684723702
679	1.684253108
680	1.683896194
681	1.683568009
682	1.682943026
683	1.682576389
684	1.682102537
685	1.681725112
686	1.681419167
687	1.680667783
688	1.680185837
689	1.679932766
690	1.679594552
691	1.679282218
692	1.678660221
693	1.678245049
694	1.67793461
695	1.677482492
696	1.676835916
697	1.6764745
698	1.676125679
699	1.675625399
700	1.675236624
701	1.674827497
702	1.674448836
703	1.673679931
704	1.673362089
705	1.673067952
706	1.672531248
707	1.672196538
708	1.671781872
709	1.671344785
710	1.671006027
711	1.670478796
712	1.670193087
713	1.669803501
714	1.669178721
715	1.668749417
716	1.668403681
717	1.668024941
718	1.667610465
719	1.66695342
720	1.6666063
721	1.666295207
722	1.666122681
723	1.665669138
724	1.66504754
725	1.664712339
726	1.664283986
727	1.664116826
728	1.663666156
729	1.663147643
730	1.662789689
731	1.66242236
732	1.662111952
733	1.661568645
734	1.661243479
735	1.66086076
736	1.660546375
737	1.660026878
738	1.659413321
739	1.65897627
740	1.65853001
741	1.658067074
742	1.657761374
743	1.657353818
744	1.656917226
745	1.656593608
746	1.656339869
747	1.655893278
748	1.655466117
749	1.654970771
750	1.654475131
751	1.654209901
752	1.653626579
753	1.653180166
754	1.652866899
755	1.652595043
756	1.652238631
757	1.651963061
758	1.651734045
759	1.651315901
760	1.650953362
761	1.650594255
762	1.650163387
763	1.649581007
764	1.649275333
765	1.649019908
766	1.648381943
767	1.648061093
768	1.647733775
769	1.647437677
770	1.647096859
771	1.646726599
772	1.646326739
773	1.645848802
774	1.645521164
775	1.645244023
776	1.644800635
777	1.64438966
778	1.644088294
779	1.64357968
780	1.643114363
781	1.642869866
782	1.642575057
783	1.64230729
784	1.641855463
785	1.641493823
786	1.641052246
787	1.640706991
788	1.64032484
789	1.639958396
790	1.639538412
791	1.639122361
792	1.638811482
793	1.638483875
794	1.638079649
795	1.637815152
796	1.637583167
797	1.637334932
798	1.636805802
799	1.636300007
800	1.636015311
801	1.635890182
802	1.63561503
803	1.635233417
804	1.634854916
805	1.634351712
806	1.633872248
807	1.633658021
808	1.633372772
809	1.632971157
810	1.632722433
811	1.632299399
812	1.631894823
813	1.631591467
814	1.631377875
815	1.631092131
816	1.630653168
817	1.630198274
818	1.629817956
819	1.629511058
820	1.629183101
821	1.628885652
822	1.628668541
823	1.628449437
824	1.628174616
825	1.627795728
826	1.627254599
827	1.626702532
828	1.62645514
829	1.626130121
830	1.625649702
831	1.625457089
832	1.625081099
833	1.624725395
834	1.624303067
835	1.623971055
836	1.623735642
837	1.623218765
838	1.622804975
839	1.622605064
840	1.622372677
841	1.621786322
842	1.621169482
843	1.620926942
844	1.620420888
845	1.620105895
846	1.619932877
847	1.619522596
848	1.61923374
849	1.618786518
850	1.618401273
851	1.618071374
852	1.617788638
853	1.617157851
854	1.616705021
855	1.616562099
856	1.616014838
857	1.615769362
858	1.615424429
859	1.614870437
860	1.614571134
861	1.614199528
862	1.613747475
863	1.613451742
864	1.613028115
865	1.612670921
866	1.612371677
867	1.61216632
868	1.611695046
869	1.611394414
870	1.610994493
871	1.610727175
872	1.610289181
873	1.609852658
874	1.609478751
875	1.609115757
876	1.608809271
877	1.608364436
878	1.608005509
879	1.607727851
880	1.607527842
881	1.607209261
882	1.606867134
883	1.606357228
884	1.605974361
885	1.605762799
886	1.605586281
887	1.605191209
888	1.604733419
889	1.604285632
890	1.603608449
891	1.603243573
892	1.602967275
893	1.602643316
894	1.602341296
895	1.602079229
896	1.601865541
897	1.6013841
898	1.600864946
899	1.600441717
900	1.600159924
901	1.599856179
902	1.599580719
903	1.599290443
904	1.598800552
905	1.598412523
906	1.598293823
907	1.598016293
908	1.597870123
909	1.597583552
910	1.597197419
911	1.596940591
912	1.59667688
913	1.596414947
914	1.596019061
915	1.595679893
916	1.595471552
917	1.595169146
918	1.594821544
919	1.594493707
920	1.594143975
921	1.593704889
922	1.593230858
923	1.593048125
924	1.592884995
925	1.592541158
926	1.592123522
927	1.59158517
928	1.591382542
929	1.591131633
930	1.590765752
931	1.590465954
932	1.590096196
933	1.589818397
934	1.589659312
935	1.589461329
936	1.589023307
937	1.588702153
938	1.588190106
939	1.587688552
940	1.587317225
941	1.58674808
942	1.586372125
943	1.586050269
944	1.585653118
945	1.585295806
946	1.584965734
947	1.584632959
948	1.584236541
949	1.583911364
950	1.583698573
951	1.583367164
952	1.583110234
953	1.582803997
954	1.582539827
955	1.58221875
956	1.581952891
957	1.58167104
958	1.581379632
959	1.581185529
960	1.580718622
961	1.580232388
962	1.579813356
963	1.579382156
964	1.579163071
965	1.578675006
966	1.578309528
967	1.578036242
968	1.577931
969	1.577631125
970	1.577385783
971	1.577106885
972	1.576806008
973	1.576554021
974	1.576280695
975	1.575979504
976	1.575718267
977	1.575553458
978	1.575334222
979	1.574949652
980	1.574810538
981	1.5744506
982	1.574227064
983	1.573920587
984	1.573552426
985	1.573213803
986	1.572815509
987	1.572566391
988	1.572241591
989	1.5719605
990	1.571575979
991	1.571317906
992	1.570872555
993	1.570561563
994	1.570243944
995	1.569864342
996	1.569633845
997	1.569442305
998	1.569103756
999	1.568844533
